Postal code,n_positives,city
42134,1,Soria
42190,0,Soria
42200,0,Soria
42211,0,Soria
42216,0,Soria
43002,3,Tarragona
43007,1,Tarragona
43008,0,Tarragona
43120,4,Tarragona
43203,0,Tarragona
43205,1,Tarragona
43470,1,Tarragona
43480,2,Tarragona
43481,1,Tarragona
43500,0,Tarragona
43530,4,Tarragona
43540,19,Tarragona
43580,3,deltebre
43700,1,Tarragona
43730,0,Tarragona
43800,1,Tarragona
43812,6,Tarragona
43820,0,Tarragona
43830,3,Tarragona
43839,8,Tarragona
43840,2,Tarragona
43850,0,Tarragona
43881,4,Tarragona
43882,0,Tarragona
43890,29,Tarragona
43893,0,Tarragona
43895,0,Tarragona
43896,0,Tarragona
44001,0,Teruel
44002,10,Teruel
44190,0,Teruel
44195,1,Teruel
44200,0,Teruel
44580,1,Teruel
44600,1,Teruel
45003,6,Toledo
45004,3,Toledo
45005,2,Toledo
45006,1,Toledo
45007,6,Toledo
45008,2,Toledo
45100,0,Toledo
45111,21,Cobisa
45126,12,Toledo
45183,0,Toledo
45190,2,Toledo
45200,13,Toledo
45210,0,Toledo
45214,3,Toledo
45217,0,Toledo
45220,2,Toledo
45221,2,Toledo
45223,0,Toledo
45224,0,Toledo
45230,1,Toledo
45270,0,Toledo
45300,0,Toledo
45400,1,Toledo
45470,0,Toledo
45500,2,Toledo
45593,3,Toledo
45600,27,Toledo
45611,0,Toledo
45710,47,Madridejos
45800,0,Toledo
45860,1,Toledo
45880,1,Toledo
45910,0,Toledo
45930,1,Toledo
46003,2,Valencia
46004,2,Valencia
46005,3,Valencia
46006,4,Valencia
46007,5,Valencia
46008,9,Valencia
46009,0,Valencia
46010,2,Valencia
46013,0,Valencia
46014,0,Valencia
46016,1,Valencia
46017,18,Valencia
46018,0,Valencia
46019,4,Valencia
46020,0,Valencia
46021,3,Valencia
46022,6,Valencia
46024,0,Valencia
46025,0,Valencia
46035,0,Valencia
46100,1,Valencia
46117,0,Valencia
46119,2,Valencia
46120,0,Valencia
46130,2,Valencia
46132,0,Valencia
46133,1,Valencia
46134,2,Valencia
46135,0,Valencia
46136,0,Valencia
46160,0,Valencia
46180,0,Valencia
46183,7,Valencia
46184,0,Valencia
46185,0,Valencia
46191,0,Valencia
46192,1,Valencia
46200,1,Valencia
46220,0,Valencia
46230,0,Valencia
46240,5,Valencia
46250,19,Valencia
46260,11,Alberique
46290,0,Valencia
46360,6,Buñol
46370,2,Valencia
46380,1,Valencia
46389,1,Valencia
46410,0,Valencia
46420,5,Valencia
46430,1,Valencia
46450,0,Valencia
46460,0,Valencia
46470,9,Valencia
46520,2,Valencia
46529,2,Valencia
46530,2,Valencia
46595,0,Valencia
46600,0,Valencia
46630,3,Valencia
46640,6,Valencia
46650,1,Valencia
46689,0,Valencia
46690,0,Valencia
46701,0,Valencia
46702,0,Valencia
46710,2,Valencia
46715,3,Valencia
46720,1,Valencia
46722,0,Valencia
46727,0,Valencia
46730,0,Valencia
46760,3,Valencia
46770,0,Valencia
46780,0,Valencia
46800,23,Valencia
46850,19,Valencia
46870,6,Valencia
46900,3,Valencia
46901,4,Valencia
46910,0,Valencia
46920,1,Mislata
46940,9,Valencia
46950,0,Valencia
46960,0,Valencia
46970,1,Valencia
46980,1,Valencia
46988,1,Valencia
47004,4,Valladolid
47007,0,Valladolid
47008,4,Valladolid
47013,0,Valladolid
47014,0,Valladolid
47100,0,Valladolid
47420,0,Valladolid
48003,1,Vizcaya
48005,2,Vizcaya
48006,0,Vizcaya
48007,7,Vizcaya
48008,0,Vizcaya
48013,1,Vizcaya
48014,0,Vizcaya
48015,9,Vizcaya
48100,8,Vizcaya
48130,1,Vizcaya
48220,0,Vizcaya
48480,0,Bizkaia
48600,1,Vizcaya
48610,0,Bizkaia
48903,0,Vizcaya
48920,1,Vizcaya
48940,1,Vizcaya
48950,1,Vizcaya
48960,1,Bizkaia
48991,7,Vizcaya
49005,1,Zamora
49006,1,Zamora
49300,4,Zamora
49600,0,Zamora
49800,15,Zamora
49882,0,Zamora
50002,2,Zaragoza
50003,1,Zaragoza
50005,0,Zaragoza
50006,2,Zaragoza
50007,1,Zaragoza
50009,3,Zaragoza
50010,25,Zaragoza
50011,0,Zaragoza
50012,7,Zaragoza
50014,6,Zaragoza
50015,7,Zaragoza
