Postal code,Value test,City,Geo Location
8970.0,0,Barcelona,"{""latitude"":41.3772403,""longitude"":2.0584371}"
8980.0,-4,Barcelona,"{""latitude"":41.3860326,""longitude"":2.0513029}"
9006.0,1,Burgos,"{""latitude"":42.3652406,""longitude"":-3.6630502}"
9007.0,-1,Burgos,"{""latitude"":42.3555923,""longitude"":-3.6641137}"
9400.0,-1,Aranda de Duero,"{""latitude"":""41.668008"",""longitude"":""-3.6894135""}"
9500.0,1,Burgos,"{""latitude"":42.9294279,""longitude"":-3.4824992}"
9550.0,0,Burgos,"{""latitude"":""42.937519"",""longitude"":""-3.5749046""}"
10001.0,-1,Cáceres,"{""latitude"":39.4742844,""longitude"":-6.3901544}"
10002.0,0,Cáceres,"{""latitude"":39.4666642,""longitude"":-6.3742943}"
10004.0,0,Cáceres,"{""latitude"":39.490261,""longitude"":-6.3647326}"
10005.0,21,Cáceres,"{""latitude"":39.4623986,""longitude"":-6.3781791}"
10300.0,1,Cáceres,"{""latitude"":39.8914301,""longitude"":-5.5477398}"
10400.0,5,Cáceres,"{""latitude"":40.0573659,""longitude"":-5.75515}"
10600.0,0,Cáceres,"{""latitude"":40.0386041,""longitude"":-6.0921772}"
10800.0,6,Cáceres,"{""latitude"":39.9850773,""longitude"":-6.5369663}"
10840.0,1,Cáceres,"{""latitude"":40.0704045,""longitude"":-6.6572136}"
11001.0,0,Cádiz,"{""latitude"":36.53160894806903,""longitude"":-6.298357806537517}"
11004.0,0,Cádiz,"{""latitude"":36.5361266,""longitude"":-6.2928346}"
11008.0,1,Cádiz,"{""latitude"":36.5188328,""longitude"":-6.2814627}"
11100.0,2,Cádiz,"{""latitude"":36.4681163,""longitude"":-6.1710851}"
11130.0,20,Cádiz,"{""latitude"":36.4407557,""longitude"":-6.1426122}"
11139.0,0,Cádiz,"{""latitude"":""36.37624359000055"",""longitude"":""-6.160557740000201""}"
11140.0,1,Conil de la Frontera,"42.7465189,2.2202163"
11150.0,5,Cádiz,"{""latitude"":36.2495823,""longitude"":-5.9681353}"
11160.0,-1,Cádiz,"{""latitude"":36.1951403,""longitude"":-5.9189636}"
11203.0,3,Cádiz,"{""latitude"":36.13596378022705,""longitude"":-5.458333921941917}"
11204.0,7,Cádiz,"{""latitude"":36.1385281,""longitude"":-5.4562754}"
11206.0,0,Cádiz,"{""latitude"":36.1259403,""longitude"":-5.4510811}"
11300.0,1,Cádiz,"{""latitude"":36.1779783,""longitude"":-5.3491492}"
11310.0,0,Cádiz,"{""latitude"":36.2909772,""longitude"":-5.3006126}"
11311.0,0,Cádiz,"{""latitude"":36.290857,""longitude"":-5.3004154}"
11360.0,-1,Cádiz,"{""latitude"":36.2938986,""longitude"":-5.3003115}"
11370.0,0,Cádiz,"{""latitude"":36.1868459,""longitude"":-5.4900456}"
11402.0,0,Cádiz,"{""latitude"":""36.6888425"",""longitude"":""-6.1349243""}"
11405.0,-4,Cádiz,"{""latitude"":36.6916888,""longitude"":-6.1127595}"
11406.0,1,Cádiz,"{""latitude"":36.6835325,""longitude"":-6.0989244}"
11407.0,4,Cádiz,"{""latitude"":36.7062639,""longitude"":-6.1241438}"
11408.0,6,Cádiz,"{""latitude"":36.6678245127392,""longitude"":-6.139274502895221}"
