id,geo_location,city,postal_code,text_test
146772,"{""latitude"":37.1985016,""longitude"":-3.6151315}",Granada,18014,Positive
146219,"{""latitude"":36.6991627,""longitude"":-6.1237947}",Jerez de la Frontera,11407,StrongPositive
145768,"{""latitude"":40.1659365,""longitude"":-8.851637}",Figueira da Foz,3080-510,Positive
145424,"{""latitude"":38.1906494,""longitude"":-0.5499239}",Santa Pola,3130,Positive
145119,"{""latitude"":40.325340157730636,""longitude"":-3.7653094667915803}",Leganés,28912,StrongPositive
145028,"{""latitude"":37.8936235,""longitude"":-4.7970295}",Córdoba,14011,Positive
145008,"{""latitude"":28.4519139,""longitude"":-16.3665719}",El Rosario,38290,Positive
144375,"{""latitude"":36.5983358,""longitude"":-6.2363865}",El Puerto de Santa María,11500,StrongPositive
143779,"{""latitude"":40.3992985,""longitude"":-3.7740633}",Madrid,28024,Positive
143080,"{""latitude"":37.1297425,""longitude"":-8.3479618}",Alcantarilha e Pêra,8365,Positive
141981,"{""latitude"":36.8822451,""longitude"":-4.8441217}",Ardales,29550,StrongPositive
141321,"{""latitude"":36.7062639,""longitude"":-6.1241438}",Jerez de la Frontera,11407,StrongPositive
141214,"{""latitude"":40.2739652,""longitude"":-3.9084355}",Arroyomolinos,28939,StrongPositive
139761,"{""latitude"":42.126826218158634,""longitude"":-0.4048169259646619}",Huesca/Uesca,22005,StrongPositive
137863,"{""latitude"":38.70202805153791,""longitude"":-8.959404397819158}",Montijo,2870-341,StrongPositive
137300,"{""latitude"":40.4545446,""longitude"":-3.8755163}",Majadahonda,28222,Positive
